Context,Epsilon,Delta,Aproximation_type,Distribution_type,Threads,Total_execution_time,Total_time,Total_exec_time_2,Total_closure_time,Updown_time,Total_closure_computations,Total_up_down_computes,Basis_size,Total_counter_examples,Sum_total_tries,Equal_to_count,Empty_set_closure_computes,Support_avg,Support_p10,Support_p50,Support_p90,Support_p95
StandardDS/mushroom.txt,0.1,0.1,weak,uniform,8,0.111396,0.016469,0.044174,0.000000,0.043028,118,1531,10,59,1196,98,1,24.985229,89.709503,7.090103,0.000000,0.000000
StandardDS/mushroom.txt,0.1,0.1,weak,frequent,8,0.802246,0.062004,0.688678,0.000000,0.708936,118,10035,69,208,3977,852,1,26.157601,56.720827,23.042836,2.264894,0.590842
StandardDS/mushroom.txt,0.1,0.1,weak,area-based,8,0.912432,0.067337,0.794175,0.000000,0.813946,118,11453,76,224,4582,974,1,24.630076,54.948301,20.088626,1.329394,0.295421
StandardDS/mushroom.txt,0.1,0.1,strong,uniform,8,0.680548,0.016272,0.614398,0.002727,0.599386,576,5619,95,116,458,1411,1,11.694006,29.197440,5.317578,0.295421,0.098474
StandardDS/mushroom.txt,0.1,0.1,strong,frequent,8,49.446444,0.840661,48.545906,0.418339,48.562584,35518,599730,614,1944,35494,41091,1,11.825640,25.997046,7.680945,1.181684,0.590842
StandardDS/mushroom.txt,0.1,0.1,strong,area-based,8,32.557241,0.533593,31.965919,0.229399,31.958195,23248,378797,479,1520,23203,28061,1,12.408169,26.587888,8.985721,1.181684,0.443131
StandardDS/connect.txt,0.1,0.1,weak,uniform,8,0.115588,0.023276,0.029395,0.000000,0.027984,126,1300,8,45,1014,51,1,42.015716,100.000000,28.094711,0.000000,0.000000
StandardDS/connect.txt,0.1,0.1,weak,frequent,8,0.120542,0.028116,0.026585,0.000000,0.031749,126,1038,10,37,800,81,1,87.737469,99.986153,99.584603,0.041540,0.041540
StandardDS/connect.txt,0.1,0.1,weak,area-based,8,0.131161,0.030409,0.035147,0.000000,0.040757,126,1197,10,45,958,120,1,94.729992,99.986153,97.535309,74.7853787,4.785378
StandardDS/connect.txt,0.1,0.1,strong,uniform,8,0.873025,0.020112,0.787443,0.000498,0.759647,155,7292,120,121,29,119,1,31.582664,97.535309,9.858765,0.000000,0.000000
StandardDS/mushroom.txt,0.1,0.1,weak,uniform,8,0.093608,0.014767,0.030441,0.000000,0.029153,118,762,7,41,517,49,1,20.792010,100.000000,4.726736,0.295421,0.295421
StandardDS/mushroom.txt,0.1,0.1,weak,frequent,8,1.227018,0.082785,1.091183,0.000000,1.124439,118,16047,88,254,6257,1137,1,24.267602,54.948301,21.073363,2.363368,1.181684
StandardDS/mushroom.txt,0.1,0.1,weak,area-based,8,1.422121,0.104303,1.265764,0.000000,1.303761,118,18874,92,294,7681,1324,1,23.405958,49.433776,21.122600,2.584934,0.590842
StandardDS/mushroom.txt,0.1,0.1,strong,uniform,8,0.661932,0.014543,0.596591,0.001517,0.582471,361,5232,95,110,246,1017,1,11.694006,29.197440,5.317578,0.295421,0.098474
StandardDS/mushroom.txt,0.1,0.1,weak,uniform,8,0.097260,0.015727,0.034732,0.000000,0.033648,118,1239,8,50,955,59,1,18.968488,100.000000,4.923683,0.000000,0.000000
StandardDS/mushroom.txt,0.1,0.1,weak,frequent,8,1.245656,0.091844,1.101973,0.000000,1.141747,118,16921,88,262,7088,1127,1,23.724878,53.963565,20.088626,2.584934,0.787789
StandardDS/mushroom.txt,0.1,0.1,weak,area-based,8,0.771682,0.061436,0.658511,0.000000,0.676980,118,9700,69,200,4001,705,1,24.420932,53.963565,22.747415,1.920236,1.181684
StandardDS/mushroom.txt,0.1,0.1,strong,uniform,8,0.664668,0.015892,0.599493,0.002389,0.584440,504,5429,95,113,387,1241,1,11.694006,29.197440,5.317578,0.295421,0.098474
StandardDS/mushroom.txt,0.1,0.1,strong,frequent,8,45.558930,0.731591,44.769336,0.350100,44.771459,30954,550251,577,1841,30912,37723,1,11.883185,25.406204,8.271787,1.181684,0.492368
StandardDS/mushroom.txt,0.1,0.1,strong,area-based,8,44.807182,0.815828,43.930839,0.391199,43.942272,35229,554013,581,1874,35207,38894,1,11.724107,25.406204,7.680945,1.181684,0.590842
